weekly,segment,name,exchange,expiry,instrument_type,asset_symbol,underlying_symbol,instrument_key,lot_size,freeze_quantity,exchange_token,minimum_lot,asset_key,underlying_key,tick_size,asset_type,underlying_type,trading_symbol,strike_price,qty_multiplier,isin,mtf_enabled,mtf_bracket,security_type,short_name
False,NSE_FO,BANKNIFTY,NSE,1787682599000.0,CE,BANKNIFTY,BANKNIFTY,NSE_FO|59314,30,600.0,59314,30.0,NSE_INDEX|Nifty Bank,NSE_INDEX|Nifty Bank,5.0,INDEX,INDEX,BANKNIFTY 63900 CE 25 AUG 26,63900.0,1.0,,,,,
False,NSE_FO,ORACLE FIN SERV SOFT LTD.,NSE,1793125799000.0,CE,OFSS,OFSS,NSE_FO|98911,100,2000.0,98911,100.0,NSE_EQ|INE881D01027,NSE_EQ|INE881D01027,5.0,EQUITY,EQUITY,OFSS 10400 CE 27 OCT 26,10400.0,1.0,,,,,
False,NSE_FO,BANKNIFTY,NSE,1787682599000.0,PE,BANKNIFTY,BANKNIFTY,NSE_FO|59315,30,600.0,59315,30.0,NSE_INDEX|Nifty Bank,NSE_INDEX|Nifty Bank,5.0,INDEX,INDEX,BANKNIFTY 63900 PE 25 AUG 26,63900.0,1.0,,,,,
False,NSE_FO,ORACLE FIN SERV SOFT LTD.,NSE,1793125799000.0,PE,OFSS,OFSS,NSE_FO|98912,100,2000.0,98912,100.0,NSE_EQ|INE881D01027,NSE_EQ|INE881D01027,5.0,EQUITY,EQUITY,OFSS 10400 PE 27 OCT 26,10400.0,1.0,,,,,
False,NSE_FO,BLUE STAR LIMITED,NSE,1793125799000.0,PE,BLUESTARCO,BLUESTARCO,NSE_FO|59310,325,13000.0,59310,325.0,NSE_EQ|INE472A01039,NSE_EQ|INE472A01039,5.0,EQUITY,EQUITY,BLUESTARCO 1560 PE 27 OCT 26,1560.0,1.0,,,,,
False,NSE_FO,BLUE STAR LIMITED,NSE,1793125799000.0,CE,BLUESTARCO,BLUESTARCO,NSE_FO|59311,325,13000.0,59311,325.0,NSE_EQ|INE472A01039,NSE_EQ|INE472A01039,5.0,EQUITY,EQUITY,BLUESTARCO 1600 CE 27 OCT 26,1600.0,1.0,,,,,
False,NSE_FO,BLUE STAR LIMITED,NSE,1793125799000.0,CE,BLUESTARCO,BLUESTARCO,NSE_FO|59309,325,13000.0,59309,325.0,NSE_EQ|INE472A01039,NSE_EQ|INE472A01039,5.0,EQUITY,EQUITY,BLUESTARCO 1560 CE 27 OCT 26,1560.0,1.0,,,,,
False,NSE_FO,PB FINTECH LIMITED,NSE,1787682599000.0,CE,POLICYBZR,POLICYBZR,NSE_FO|139529,350,14000.0,139529,350.0,NSE_EQ|INE417T01026,NSE_EQ|INE417T01026,5.0,EQUITY,EQUITY,POLICYBZR 1580 CE 25 AUG 26,1580.0,1.0,,,,,
False,NSE_FO,MIDCPNIFTY,NSE,1793125799000.0,CE,MIDCPNIFTY,MIDCPNIFTY,NSE_FO|50970,120,2760.0,50970,120.0,NSE_INDEX|NIFTY MID SELECT,NSE_INDEX|NIFTY MID SELECT,5.0,INDEX,INDEX,MIDCPNIFTY 15500 CE 27 OCT 26,15500.0,1.0,,,,,
False,NSE_FO,MIDCPNIFTY,NSE,1793125799000.0,PE,MIDCPNIFTY,MIDCPNIFTY,NSE_FO|50971,120,2760.0,50971,120.0,NSE_INDEX|NIFTY MID SELECT,NSE_INDEX|NIFTY MID SELECT,5.0,INDEX,INDEX,MIDCPNIFTY 15500 PE 27 OCT 26,15500.0,1.0,,,,,
